ID,R0,R1,E1_0,E1_1,W1_0,W1_1,label
61,434.6144439,3781.4719,4.59E-05,0.861198801,7024.396599,19.19208003,1
62,420.6384562,5508.038501,5.55E-05,0.734614442,286.2240874,0.602039327,1
63,396.5637826,9148.843246,6.89E-05,0.789752577,790.4130625,1.204674333,1
64,459.0223474,4660.600479,4.21E-05,0.89966809,11750.75755,26.84627434,1
65,477.4852165,4473.777096,3.98E-05,0.893204757,6693.802331,10.91196326,1
66,405.8338666,3979.603136,3.97E-05,0.878549087,8867.805708,27.29366594,1
67,406.6971378,4018.251304,3.71E-05,0.894027705,7783.66994,21.76457872,1
68,416.036651,4356.137648,5.70E-05,0.87726169,9795.44006,29.62689848,1
69,416.6188467,4275.280024,5.44E-05,0.908467511,7723.180836,17.2745892,1
70,428.331985,4252.771935,5.54E-05,0.915624114,11462.33949,21.66283303,1
71,429.9075551,4382.713871,5.54E-05,0.898914084,12654.18864,30.82941111,1
72,549.3064176,4005.988307,4.14E-05,0.873034344,8905.676615,19.00123606,1
73,552.4866397,3865.160879,3.91E-05,0.875090455,7711.435826,20.09939596,1
74,531.0239485,3827.352021,4.97E-05,0.877462478,9743.650154,27.13927599,1
75,530.2908178,3918.509463,4.86E-05,0.88186493,10156.42245,26.9824928,1
76,382.1099637,4397.620668,5.34E-05,0.897933994,9747.684461,23.25913557,1
77,373.4347786,4696.883151,5.21E-05,0.928885693,8793.25053,13.71593234,1
78,384.4168876,4449.165774,5.40E-05,0.907255386,10641.01356,27.75966142,1
79,385.0383453,4481.255758,5.55E-05,0.900554543,11325.89701,32.4673401,1
80,458.5456442,4256.386441,4.87E-05,0.90269845,7901.81546,15.06902913,1
81,461.9938769,4021.366184,4.84E-05,0.891436819,8995.793457,23.2805697,1
82,518.4747929,4226.08181,4.51E-05,0.862372322,9358.063448,25.95366796,1
83,519.5629004,4159.044599,4.42E-05,0.883037016,9200.867593,22.03561461,1
84,521.8453723,3916.783539,5.99E-05,0.87688684,7715.737485,19.34059536,1
85,524.5226682,3810.142834,6.14E-05,0.873192217,14090.77809,71.68932617,1
86,390.2917463,4904.521056,5.22E-05,0.888999183,9603.038948,26.43628777,1
87,391.5590368,4764.729853,5.10E-05,0.892145544,8927.917245,23.79595075,1
